INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;LATITUD;LONGITUD;INDSINOP
1387E;A CORUÑA AEROPUERTO;A CORUÑA;98;431825N;082220W;08002
1387;A CORUÑA;A CORUÑA;58;432157N;082517W;08001
1428;SANTIAGO DE COMPOSTELA AEROPUERTO;A CORUÑA;370;425316N;082439W;08042
8175;ALBACETE BASE AÉREA;ALBACETE;702;385706N;015145W;08280
8178D;ALBACETE;ALBACETE;674;390020N;015144W;08279
8019;ALICANTE/ALACANT AEROPUERTO;ALICANTE;43;381658N;003415W;08360
8025;ALICANTE/ALACANT;ALICANTE;81;382221N;002939W;08359
6325O;ALMERÍA AEROPUERTO;ALMERIA;21;365047N;022125W;08487
6297;ALMERÍA;ALMERIA;7;364952N;022720W;
9091O;FORONDA-TXOKIZA;ARABA/ALAVA;513;425255N;024406W;08080
9087;VITORIA AERÓDROMO;ARABA/ALAVA;521;425059N;023922W;
1212E;ASTURIAS AEROPUERTO;ASTURIAS;127;433401N;060239W;08011
1208A;GIJÓN. LA MERCED;ASTURIAS;22;433230N;053943W;
1208H;GIJÓN, PUERTO;ASTURIAS;5;433336N;054203W;08014
1208;GIJÓN;ASTURIAS;3;433220N;053815W;
1249I;OVIEDO;ASTURIAS;336;432112N;055227W;08015
2444C;ÁVILA, AYUNTAMIENTO;AVILA;1143;403924N;044201W;
2444;ÁVILA;AVILA;1130;403933N;044048W;08210
4452;BADAJOZ AEROPUERTO;BADAJOZ;185;385300N;064850W;08330
0076;BARCELONA AEROPUERTO;BARCELONA;4;411734N;020412E;08181
0200E;BARCELONA, FABRA;BARCELONA;412;412506N;020727E;
1082;BILBAO AEROPUERTO;BIZKAIA;42;431753N;025421W;08025
2331;BURGOS AEROPUERTO;BURGOS;891;422122N;033717W;08075
3469;CÁCERES, CIUDAD;CACERES;459;392833N;062235W;
3469A;CÁCERES;CACERES;394;392817N;062020W;08261
5973;CÁDIZ;CADIZ;2;362959N;061528W;08452
